site,y.1,y.2,y.3,year,c.year,SITE,POINT,WMA,allgrss100,trees100,jdate.1,jdate.2,jdate.3,obs.1,obs.2,obs.3,minutes.1,minutes.2,minutes.3,cloud.1,cloud.2,cloud.3,wind.1,wind.2,wind.3,temp.1,temp.2,temp.3
DIAM.5,0,0,0,1,2010,DIAM.5,5,DIAM,0.562434,0.0585352,10126,10155,10180,GDG,JDW,GDG,475,376,473,5,50,40,7.1,9.1,1.8,12,21.3,21.8
DIAM.6,0,0,0,1,2010,DIAM.6,6,DIAM,0.553554,0.0527103,10126,10155,10180,GDG,JDW,GDG,462,385,490,10,40,20,9.6,5.6,4.3,11.1,21.4,22.3
DIAM.7,0,0,0,1,2010,DIAM.7,7,DIAM,0.530604,0.0790018,10126,10155,10180,GDG,JDW,GDG,526,400,420,10,25,40,10.8,7.8,2.9,13.7,21.4,21.5
DIAM.8,0,0,0,1,2010,DIAM.8,8,DIAM,0.556864,0.070917,10126,10155,10180,GDG,CFJ,GDG,505,384,439,5,60,50,8.3,7.8,2.4,13.2,21.4,22.5
DIAM.9,0,0,0,1,2010,DIAM.9,9,DIAM,0.580832,0.0591718,10126,10155,10180,GDG,GDG,GDG,433,380,513,30,25,10,8.1,8.6,3.6,9.8,22,24.3
HICK.1,0,0,0,1,2010,HICK.1,1,HICK,0.76535,0.117675,10135,10152,10181,GDG,GDG,JDW,578,560,536,100,85,0,0,4.6,6.8,16.7,25.7,22.1
HICK.2,0,0,0,1,2010,HICK.2,2,HICK,0.755674,0.117834,10135,10152,10181,GDG,CFJ,GDG,550,535,528,100,85,0,1.5,3.1,5.6,15.4,24.7,24.5
HICK.3,0,0,0,1,2010,HICK.3,3,HICK,0.765668,0.120858,10135,10152,10181,GDG,CFJ,GDG,508,552,550,90,98,0,0,2.1,5.4,14.5,24,24.8
HICK.4,0,0,0,1,2010,HICK.4,4,HICK,0.772257,0.114588,10135,10152,10181,GDG,GDG,JDW,464,572,546,30,90,0,3.4,4.9,10.1,12.6,24.6,21.6
HICK.5,0,0,0,1,2010,HICK.5,5,HICK,0.707992,0.124359,10135,10152,10181,GDG,JDW,CFJ,415,545,560,50,100,0,0.8,3.2,4.8,8.1,24,25.6
HICK.6,0,0,0,1,2010,HICK.6,6,HICK,0.76831,0.117675,10135,10152,10181,GDG,GDG,JDW,480,544,523,50,80,0,0.8,2.1,7.7,12.7,25.4,21.1
HICK.7,0,0,0,1,2010,HICK.7,7,HICK,0.70586,0.108476,10135,10152,10181,GDG,JDW,CFJ,395,532,545,40,100,0,0,2,2.5,7.4,24,23.7
HICK.8,0,0,0,1,2010,HICK.8,8,HICK,0.700003,0.105166,10135,10152,10181,GDG,JDW,CFJ,374,520,530,25,100,0,0,3.5,3.6,7.2,24,23.3
HICK.9,0,0,0,1,2010,HICK.9,9,HICK,0.744629,0.124678,10135,10152,10181,GDG,CFJ,GDG,535,568,513,95,100,0,2,5.2,4.2,13.8,24.2,21.2
KISS.1,0,0,0,1,2010,KISS.1,1,KISS,0.3077,0.00512461,10134,10149,10176,CFJ,CFJ,CFJ,580,426,508,10,0,70,2.9,4.7,5.2,15.1,20.9,22.6
KISS.2,0,0,0,1,2010,KISS.2,2,KISS,0.346691,0.00700258,10134,10149,10176,JDW,JDW,JDW,528,445,471,0,0,75,1,2.1,6,14.7,20,21
KISS.3,0,0,0,1,2010,KISS.3,3,KISS,0.313143,0.00980361,10134,10149,10176,JDW,JDW,JDW,510,455,461,0,0,75,1.5,3.7,6.5,11,20,20.9
KISS.4,0,0,0,1,2010,KISS.4,4,KISS,0.411465,0.00544291,10134,10149,10176,JDW,JDW,JDW,563,417,516,0,0,65,2.6,2.9,7.5,14.7,18,23.5
KISS.5,0,0,0,1,2010,KISS.5,5,KISS,0.27275,0.00448802,10134,10149,10176,CFJ,CFJ,CFJ,545,441,474,3,0,70,0,2.4,4,25.3,24.5,20.4
KISS.6,0,0,0,1,2010,KISS.6,6,KISS,0.294713,0.00735271,10134,10149,10176,CFJ,CFJ,CFJ,504,469,443,0,0,55,2.3,5.4,4.8,11.5,22.9,21.1
KISS.7,0,0,0,1,2010,KISS.7,7,KISS,0.39154,0.00547474,10134,10149,10176,JDW,JDW,JDW,550,431,486,0,0,55,1.4,6.2,8.6,14,18.6,22.6
KISS.8,0,0,0,1,2010,KISS.8,8,KISS,0.272368,0.0108222,10134,10149,10176,JDW,JDW,JDW,498,470,439,0,0,60,2.1,4.7,6.1,10,20.9,20.4
KISS.9,0,0,0,1,2010,KISS.9,9,KISS,0.300793,0.00464717,10134,10149,10176,CFJ,CFJ,CFJ,521,483,459,0,0,70,1.6,5.4,2.4,19.6,22.1,21.6
MEDCNE.1,0,0,0,1,2010,MEDCNE.1,1,MEDCNE,0.495019,0.0594264,10114,10143,10190,GDG,CFJ,GDG,443,518,396,30,40,5,10.8,12.9,0,10,19.9,13.5
MEDCNE.2,0,0,0,1,2010,MEDCNE.2,2,MEDCNE,0.534074,0.0843174,10114,10143,10190,CFJ,CFJ,GDG,517,487,501,45,45,2,7.4,9.1,2.1,14.8,20.1,20.5
MEDCNE.3,0,0,0,1,2010,MEDCNE.3,3,MEDCNE,0.522042,0.0748958,10114,10143,10190,CFJ,CFJ,GDG,483,462,524,50,20,1,10.8,11.4,2.2,12.7,16.4,19.8
MEDCNE.4,0,0,0,1,2010,MEDCNE.4,4,MEDCNE,0.522806,0.0828214,10114,10143,10190,CFJ,CFJ,GDG,495,438,487,70,0,1,7.2,6.1,0,11.2,18.5,20.1
MEDCNE.5,0,0,0,1,2010,MEDCNE.5,5,MEDCNE,0.535061,0.0788108,10114,10143,10190,CFJ,CFJ,GDG,504,473,514,70,45,1,8,11.1,1.4,12,18.8,22.4
MEDCNE.6,0,0,0,1,2010,MEDCNE.6,6,MEDCNE,0.50339,0.0656651,10114,10143,10190,GDG,CFJ,GDG,485,412,451,80,0,10,3.1,13.1,0,11.6,16.2,15
MEDCNE.7,0,0,0,1,2010,MEDCNE.7,7,MEDCNE,0.500111,0.0660789,10114,10143,10190,GDG,CFJ,GDG,526,396,434,25,0,5,8.9,6.6,0,13.7,16.1,12.9
MEDCNE.8,0,0,0,1,2010,MEDCNE.8,8,MEDCNE,0.491326,0.064933,10114,10143,10190,GDG,CFJ,GDG,464,378,417,30,1,10,13.2,13.4,0,10,15.6,14.7
MEDCNE.9,0,0,0,1,2010,MEDCNE.9,9,MEDCNE,0.51453,0.0741637,10114,10143,10190,GDG,CFJ,GDG,501,427,466,70,0,5,6.5,8.7,2.4,12.9,16.1,17
MEDCNW.1,0,0,0,1,2010,MEDCNW.1,1,MEDCNW,0.706369,0.0928797,10116,10143,10182,GDG,GDG,GDG,428,563,483,5,95,0,8.3,13.6,5.9,4.8,20.7,20.8
MEDCNW.2,0,0,0,1,2010,MEDCNW.2,2,MEDCNW,0.670465,0.0966038,10116,10143,10182,GDG,GDG,GDG,575,415,524,3,1,0,21.5,10.4,7.6,9.2,16,22.8
MEDCNW.3,0,0,0,1,2010,MEDCNW.3,3,MEDCNW,0.682497,0.0988,10116,10143,10182,GDG,GDG,GDG,528,466,402,0,40,0,8.4,1.7,2.7,8.5,18.1,17.9
