site,y.1,y.2,y.3,year,c.year,SITE,POINT,WMA,allgrss100,trees100,jdate.1,jdate.2,jdate.3,obs.1,obs.2,obs.3,minutes.1,minutes.2,minutes.3,cloud.1,cloud.2,cloud.3,wind.1,wind.2,wind.3,temp.1,temp.2,temp.3
ROSE.3,0,0,0,1,2010,ROSE.3,3,ROSE,0.483273,0.254512,10138,10150,10178,GDG,GDG,GDG,420,407,543,100,100,100,0,2.5,1.3,15.6,21.4,26.4
ROSE.4,0,0,0,1,2010,ROSE.4,4,ROSE,0.508896,0.279116,10138,10150,10178,JDW,GDG,GDG,457,453,522,100,70,90,1.2,0,3.7,11.8,22.6,25.5
ROSE.5,0,0,0,1,2010,ROSE.5,5,ROSE,0.5067,0.278002,10138,10150,10178,JDW,GDG,GDG,442,437,507,100,90,90,1.1,0.8,7.8,11.3,23.8,24.8
ROSE.6,0,0,0,1,2010,ROSE.6,6,ROSE,0.496196,0.258841,10138,10150,10178,CFJ,GDG,GDG,468,542,425,100,100,50,0.8,0.8,0,19.8,24.2,23.7
ROSE.7,0,0,0,1,2010,ROSE.7,7,ROSE,0.492186,0.239806,10138,10150,10178,CFJ,GDG,GDG,443,561,401,100,100,75,1.2,5.7,1.7,15.8,21.9,23.4
ROSE.8,0,0,0,1,2010,ROSE.8,8,ROSE,0.481173,0.24022,10138,10150,10178,GDG,GDG,GDG,440,393,558,100,100,100,0,1.8,4.5,12.3,21.3,25.4
ROSE.9,0,0,0,1,2010,ROSE.9,9,ROSE,0.485406,0.216825,10138,10150,10178,GDG,GDG,GDG,458,378,574,100,100,100,0,2.6,8.2,12.4,22,25.1
RWRNE.1,0,0,0,1,2010,RWRNE.1,1,RWRNE,0.73613,0.00302384,10119,10145,10183,GDG,GDG,GDG,584,435,438,1,50,80,10.8,2.2,2.7,17.1,12,22.2
RWRNE.2,0,0,0,1,2010,RWRNE.2,2,RWRNE,0.730655,0.00327848,10119,10145,10183,GDG,GDG,GDG,597,419,458,0,50,70,8.8,0,5.9,18.8,12,21.6
RWRNE.3,0,0,0,1,2010,RWRNE.3,3,RWRNE,0.754146,0.00155967,10119,10145,10183,GDG,GDG,GDG,570,461,417,0,80,80,7.4,3.7,4.7,13.1,11.5,21.8
RWRNE.4,0,0,0,1,2010,RWRNE.4,4,RWRNE,0.706433,0.00499729,10119,10145,10183,GDG,GDG,GDG,498,530,554,0,50,40,8.6,4.2,6.2,12.2,16.6,26.1
RWRNE.5,0,0,0,1,2010,RWRNE.5,5,RWRNE,0.676545,0.0055384,10119,10145,10183,GDG,GDG,GDG,458,583,496,0,85,50,2.5,2.3,12.4,9.9,19.3,23.6
RWRNE.6,0,0,0,1,2010,RWRNE.6,6,RWRNE,0.72865,0.00264188,10119,10145,10183,GDG,GDG,GDG,553,482,603,0,50,50,8.6,0,13.6,12.5,12.9,27.7
RWRNE.7,0,0,0,1,2010,RWRNE.7,7,RWRNE,0.718719,0.00369227,10119,10145,10183,GDG,GDG,GDG,492,548,569,0,90,30,9.7,0,5.9,11.1,19.1,26.3
RWRNE.8,0,0,0,1,2010,RWRNE.8,8,RWRNE,0.702613,0.00305567,10119,10145,10183,GDG,GDG,GDG,529,504,586,0,50,30,9.3,3.3,13.6,12.7,12.9,25.5
RWRNE.9,0,0,0,1,2010,RWRNE.9,9,RWRNE,0.640481,0.00531559,10119,10145,10183,GDG,GDG,GDG,419,604,526,0,75,40,11,6.2,9.3,9.6,22.3,24.3
RWRNW.1,0,0,0,1,2010,RWRNW.1,1,RWRNW,0.7029,0.0373683,10118,10145,10183,CFJ,CFJ,CFJ,518,522,564,15,45,20,0,0,10.3,12.5,14.1,25.1
RWRNW.2,0,0,0,1,2010,RWRNW.2,2,RWRNW,0.677277,0.0298246,10118,10145,10183,GDG,JDW,JDW,504,515,558,10,30,20,5.4,0,7.9,11.2,15.6,24.7
RWRNW.3,0,0,0,1,2010,RWRNW.3,3,RWRNW,0.675717,0.0299838,10118,10145,10183,GDG,JDW,JDW,484,520,540,5,40,20,1.8,2.3,6.1,9.4,15.7,24.3
RWRNW.4,0,0,0,1,2010,RWRNW.4,4,RWRNW,0.700003,0.0318617,10118,10145,10183,CFJ,CFJ,CFJ,493,493,598,60,50,20,1.1,2.3,12.8,12.3,11.2,26.8
RWRNW.5,0,0,0,1,2010,RWRNW.5,5,RWRNW,0.677436,0.0338352,10118,10145,10183,GDG,JDW,CFJ,558,556,547,10,95,20,8.6,2.9,7.6,6.2,17.6,26
RWRNW.6,0,0,0,1,2010,RWRNW.6,6,RWRNW,0.690391,0.0324347,10118,10145,10183,GDG,CFJ,CFJ,541,509,577,5,50,20,5.2,0,13.1,6.1,12.5,25.5
RWRNW.7,0,0,0,1,2010,RWRNW.7,7,RWRNW,0.667378,0.032753,10118,10145,10183,CFJ,CFJ,CFJ,456,537,527,60,65,25,7.8,4,11.5,9.2,16.1,25.7
RWRNW.8,0,0,0,1,2010,RWRNW.8,8,RWRNW,0.690995,0.0310342,10118,10145,10183,CFJ,JDW,JDW,471,488,583,60,20,20,4.2,4.8,10.3,12.1,12.4,25.7
RWRNW.9,0,0,0,1,2010,RWRNW.9,9,RWRNW,0.642709,0.0294427,10118,10145,10183,GDG,JDW,JDW,463,536,524,20,60,20,2.6,6.5,8.8,8.6,15.3,23.9
RWRSE.1,0,0,0,1,2010,RWRSE.1,1,RWRSE,0.608811,0.00741637,10117,10121,10183,CFJ,CFJ,CFJ,462,440,418,0,75,60,3.2,1.4,5.1,7.5,12.6,21.2
RWRSE.2,0,0,0,1,2010,RWRSE.2,2,RWRSE,0.597988,0.0128275,10117,10145,10183,GDG,JDW,JDW,458,420,422,0,60,45,3.5,2.6,6.1,5.6,11.5,20.7
RWRSE.3,0,0,0,1,2010,RWRSE.3,3,RWRSE,0.645447,0.00557023,10117,10145,10183,CFJ,CFJ,CFJ,496,422,433,0,75,50,2.8,1.6,2.3,9.1,11.4,21.1
RWRSE.4,0,0,0,1,2010,RWRSE.4,4,RWRSE,0.628609,0.0163924,10117,10145,10183,GDG,JDW,JDW,533,445,464,1,90,20,5.6,0.7,11.2,9.4,13.2,21.7
RWRSE.5,0,0,0,1,2010,RWRSE.5,5,RWRSE,0.595697,0.0208486,10117,10145,10183,GDG,JDW,JDW,508,402,447,0,90,40,2.4,0.9,2.9,7.9,14.8,21.2
RWRSE.6,0,0,0,1,2010,RWRSE.6,6,RWRSE,0.625362,0.00658879,10117,10145,10183,CFJ,CFJ,CFJ,479,397,461,0,80,40,1.8,2,6.6,10.8,13.1,22.4
RWRSE.7,0,0,0,1,2010,RWRSE.7,7,RWRSE,0.636534,0.00814846,10117,10145,10183,CFJ,CFJ,CFJ,555,460,479,0,75,40,6.6,2.9,13.1,10.7,12.2,22.4
RWRSE.8,0,0,0,1,2010,RWRSE.8,8,RWRSE,0.657574,0.00563389,10117,10145,10183,CFJ,CFJ,CFJ,513,409,445,0,80,50,5.1,1.2,2.8,5.1,9.2,21.3
RWRSE.9,0,0,0,1,2010,RWRSE.9,9,RWRSE,0.582519,0.0174428,10117,10145,10183,GDG,JDW,JDW,480,386,434,0,90,60,1.5,1.3,3,6.3,15,21.3
SACW.1,0,0,0,1,2010,SACW.1,1,SACW,0.206831,0.0533151,10121,10146,10189,GDG,GDG,GDG,499,392,459,10,50,60,3,2.8,2.1,9,17.5,16.7
SACW.2,0,0,0,1,2010,SACW.2,2,SACW,0.202184,0.0420791,10121,10146,10189,GDG,JDW,CFJ,560,391,416,10,30,75,7.9,2.4,1.4,12.5,17.3,17.8
SACW.3,0,0,0,1,2010,SACW.3,3,SACW,0.214947,0.0470764,10121,10146,10189,GDG,JDW,JDW,575,407,430,10,65,85,6.5,2.8,1.9,11.3,17.3,17
SACW.4,0,0,0,1,2010,SACW.4,4,SACW,0.203807,0.0527421,10121,10146,10189,GDG,GDG,GDG,460,424,423,10,60,70,2.5,0,1.5,7.2,16.5,16.7
SACW.5,0,0,0,1,2010,SACW.5,5,SACW,0.206481,0.0537925,10121,10146,10189,GDG,CFJ,CFJ,605,431,444,10,45,75,10,0,1.8,14.5,21.5,20.6
SACW.6,0,0,0,1,2010,SACW.6,6,SACW,0.207563,0.0487952,10121,10146,10189,GDG,JDW,JDW,540,375,401,15,10,80,4.1,3.1,1.2,15.4,15.5,18.8
SACW.7,0,0,0,1,2010,SACW.7,7,SACW,0.211605,0.0533787,10121,10146,10189,GDG,JDW,JDW,592,423,443,10,50,85,7.5,0,2.1,13,17.7,17
SACW.8,0,0,0,1,2010,SACW.8,8,SACW,0.208772,0.0531878,10121,10146,10189,GDG,GDG,GDG,476,411,435,5,60,60,2.5,1.3,1.5,9,16.3,16.1
SACW.9,0,0,0,1,2010,SACW.9,9,SACW,0.195149,0.047904,10121,10146,10189,GDG,GDG,GDG,428,444,403,5,30,70,2,1.8,0,9.3,17.1,19.2
TWIN.1,0,0,1,1,2010,TWIN.1,1,TWIN,0.509119,0.215966,10137,10152,10181,JDW,JDW,JDW,594,394,412,100,20,0,4.1,1.2,0,12.7,19.5,16.2
TWIN.2,0,0,0,1,2010,TWIN.2,2,TWIN,0.555145,0.199828,10137,10152,10181,GDG,GDG,GDG,573,404,431,100,20,0,3.3,0,0,13.6,18.2,17.6
TWIN.3,0,0,0,1,2010,TWIN.3,3,TWIN,0.553872,0.193526,10137,10152,10181,GDG,GDG,GDG,528,452,378,100,60,0,4.1,0,1,13.4,22.4,19
TWIN.4,0,0,0,1,2010,TWIN.4,4,TWIN,0.492568,0.258841,10137,10152,10181,JDW,JDW,JDW,579,418,388,100,10,0,2.8,2,1.5,13,19,14.6
TWIN.5,0,0,0,1,2010,TWIN.5,5,TWIN,0.495751,0.233822,10137,10152,10181,JDW,JDW,JDW,566,405,401,100,20,0,7.1,2.3,0,12.2,19.5,16.7
TWIN.6,0,0,0,1,2010,TWIN.6,6,TWIN,0.61368,0.165802,10137,10152,10181,GDG,GDG,GDG,499,476,461,100,2,0,4.6,2.3,1.9,16.1,22.4,20.1
TWIN.7,0,0,0,1,2010,TWIN.7,7,TWIN,0.557437,0.19604,10137,10152,10181,CFJ,CFJ,CFJ,516,405,394,100,40,1,4.6,2,0,15.1,19.7,14.8
TWIN.8,0,0,0,1,2010,TWIN.8,8,TWIN,0.564949,0.179107,10137,10152,10181,CFJ,CFJ,CFJ,540,435,433,100,40,1,4.6,1.5,0,12.8,20.9,19.1
TWIN.9,0,0,0,1,2010,TWIN.9,9,TWIN,0.572556,0.188242,10137,10152,10181,GDG,GDG,GDG,554,428,401,100,40,0,6.1,3.2,0,13.1,19.9,17.9
WANA.1,0,0,0,1,2010,WANA.1,1,WANA,0.242003,0.0119362,10115,10141,10190,GDG,CFJ,CFJ,405,444,388,1,30,4,3.8,2.1,0,8.1,12.9,16.6
WANA.2,0,0,0,1,2010,WANA.2,2,WANA,0.254989,0.0101537,10115,10141,10190,CFJ,CFJ,CFJ,417,413,372,0,30,3,4,2.4,0,5.3,10.1,15.3
WANA.3,0,0,0,1,2010,WANA.3,3,WANA,0.250056,0.0109495,10115,10141,10190,GDG,CFJ,CFJ,425,502,401,1,25,4,4.2,1.1,0,7.2,19.6,17.8
WANA.4,0,0,0,1,2010,WANA.4,4,WANA,0.251965,0.0098991,10115,10141,10190,GDG,CFJ,CFJ,444,485,475,1,25,4,5.5,2,1.1,8.8,18.6,18.5
WANA.5,0,0,0,1,2010,WANA.5,5,WANA,0.242066,0.0110768,10115,10141,10190,CFJ,CFJ,CFJ,429,400,358,0,30,5,3.8,0,0,9.7,13.4,16
WANA.6,1,0,0,1,2010,WANA.6,6,WANA,0.240761,0.0108858,10115,10141,10190,CFJ,CFJ,CFJ,463,365,335,3,25,5,1.4,2.3,0,17.2,10.3,14.7
WANA.7,0,0,0,1,2010,WANA.7,7,WANA,0.254321,0.0102174,10115,10141,10190,GDG,CFJ,CFJ,483,457,435,1,30,3,10.3,1.1,0,8.9,19.1,21.1
WANA.8,0,0,0,1,2010,WANA.8,8,WANA,0.248655,0.00935799,10115,10141,10190,GDG,CFJ,JDW,464,472,425,1,25,2,5.7,2.1,0,9.6,16.1,21.1
WANA.9,0,0,0,1,2010,WANA.9,9,WANA,0.227838,0.0124773,10115,10141,10190,CFJ,CFJ,CFJ,444,384,347,0,25,5,6.1,1.6,0,10.1,11.1,16.3
WFRONT.1,0,1,0,1,2010,WFRONT.1,1,WFRONT,0.182704,0.00381959,10134,10148,10180,CFJ,CFJ,CFJ,446,530,437,0,0,5,0,8.4,2.9,10.8,25.1,20.3
WFRONT.2,0,0,1,1,2010,WFRONT.2,2,WFRONT,0.222905,0.00321482,10134,10149,10180,JDW,JDW,JDW,443,516,431,0,0,25,4.1,9.4,1.3,6.3,23.2,20
WFRONT.3,0,0,1,1,2010,WFRONT.3,3,WFRONT,0.114779,0.00394691,10134,10149,10180,JDW,JDW,JDW,380,560,376,0,0,25,1.4,11,3.7,7,25,18
WFRONT.4,0,1,0,1,2010,WFRONT.4,4,WFRONT,0.153165,0.0037241,10134,10149,10180,JDW,JDW,JDW,411,538,401,0,0,30,1.5,7.5,3,5,23.4,18
WFRONT.5,0,0,0,1,2010,WFRONT.5,5,WFRONT,0.124359,0.00366044,10134,10149,10180,JDW,JDW,JDW,399,549,389,0,0,30,1.2,10.9,3.5,5,24.5,17.7
WFRONT.6,0,0,0,1,2010,WFRONT.6,6,WFRONT,0.198014,0.00346946,10134,10149,10180,JDW,JDW,JDW,431,526,420,0,0,25,2.2,7.3,1.8,5.3,23.3,19.5
WFRONT.7,0,0,0,1,2010,WFRONT.7,7,WFRONT,0.208422,0.00381959,10134,10149,10180,CFJ,CFJ,CFJ,432,541,425,0,0,5,0,9.9,3.5,12.1,24.8,20.4
WFRONT.8,0,0,0,1,2010,WFRONT.8,8,WFRONT,0.274565,0.00305567,10134,10149,10180,CFJ,CFJ,CFJ,395,570,390,1,0,10,1.3,9.9,2.4,5.4,26,19.2
WFRONT.9,1,0,0,1,2010,WFRONT.9,9,WFRONT,0.259796,0.00321482,10134,10149,10180,CFJ,CFJ,CFJ,413,557,406,0,0,10,0.9,11.2,1.8,5.8,24.8,18.3
WSAC.1,0,1,0,1,2010,WSAC.1,1,WSAC,0.125537,0.00416972,10122,10146,10189,GDG,GDG,GDG,539,479,518,5,10,50,4.6,4.3,1.6,14.2,18.8,19.8
WSAC.2,0,0,0,1,2010,WSAC.2,2,WSAC,0.0919248,0.00413789,10122,10146,10189,GDG,CFJ,CFJ,580,484,522,5,30,65,5.2,1.4,4.1,14.4,20.1,20.5
WSAC.3,0,0,0,1,2010,WSAC.3,3,WSAC,0.0951077,0.00407423,10122,10146,10189,GDG,GDG,GDG,507,507,572,5,5,90,2.9,4.4,2.8,10.5,21.4,19.1
WSAC.4,0,1,0,1,2010,WSAC.4,4,WSAC,0.106694,0.00423338,10122,10146,10189,GDG,JDW,JDW,450,485,517,5,0,65,0,3,3.9,7,20.6,18.5
WSAC.5,1,1,0,1,2010,WSAC.5,5,WSAC,0.12802,0.00506095,10122,10146,10189,GDG,JDW,CFJ,432,475,587,5,10,80,2,2,3.5,4,17.5,21.9
WSAC.6,0,0,0,1,2010,WSAC.6,6,WSAC,0.102206,0.00416972,10122,10146,10189,GDG,GDG,GDG,524,493,558,5,5,80,3.9,2.7,2.1,14.4,19.5,19.9
WSAC.7,1,1,0,1,2010,WSAC.7,7,WSAC,0.0964764,0.00410606,10122,10146,10189,GDG,CFJ,CFJ,564,503,556,10,5,85,4.5,5.6,3.7,13.8,20.1,19.6
WSAC.8,0,0,NA,1,2010,WSAC.8,8,WSAC,0.0896967,0.00407423,10122,10146,NA,GDG,JDW,NA,484,510,NA,5,5,NA,3.3,5.8,NA,11.6,20.3,NA
WSAC.9,1,0,0,1,2010,WSAC.9,9,WSAC,0.0939937,0.00416972,10122,10146,10189,GDG,JDW,JDW,466,497,552,5,5,80,1,5.4,2.7,9.4,21.4,19
YANK.1,0,0,0,1,2010,YANK.1,1,YANK,0.408951,0.101951,10133,10150,10179,CFJ,CFJ,CFJ,426,400,389,100,100,8,6.8,0,0,9.9,22.9,0
YANK.2,0,0,0,1,2010,YANK.2,2,YANK,0.46408,0.0992456,10133,10150,10179,JDW,JDW,JDW,390,426,427,100,100,15,5.8,0,0,8.2,20.6,18.8
YANK.3,0,0,0,1,2010,YANK.3,3,YANK,0.464335,0.0952032,10133,10150,10179,JDW,JDW,JDW,450,387,382,100,100,5,8.9,2.1,0,8.3,19.9,16.6
YANK.4,0,0,0,1,2010,YANK.4,4,YANK,0.450011,0.0992456,10133,10150,10179,CFJ,CFJ,CFJ,396,438,425,100,100,10,14.9,0.8,0,7.6,22,20.4
YANK.5,0,0,0,1,2010,YANK.5,5,YANK,0.427412,0.0948531,10133,10150,10178,JDW,JDW,JDW,471,371,361,100,100,5,7.6,3.7,1.2,9,21,19
YANK.6,0,0,0,1,2010,YANK.6,6,YANK,0.410542,0.101474,10133,10150,10179,CFJ,CFJ,CFJ,413,416,402,100,100,5,3.1,0,0,10.5,21.2,18.1
YANK.7,0,0,0,1,2010,YANK.7,7,YANK,0.4679,0.0964128,10133,10150,10179,JDW,JDW,JDW,421,413,410,100,100,15,1.9,0.8,0,9.4,20,18
YANK.8,0,0,0,1,2010,YANK.8,8,YANK,0.473056,0.097113,10133,10150,10179,JDW,JDW,JDW,435,400,399,100,100,10,1.2,0.7,0,9.7,19.7,17.2
YANK.9,0,0,0,1,2010,YANK.9,9,YANK,0.401598,0.103352,10133,10150,10179,CFJ,CFJ,CFJ,454,381,372,100,100,10,1.2,0,0,8.1,22.8,17.8
ALEX.1,0,0,0,2,2011,ALEX.1,1,ALEX,0.494605,0.116275,11137,11151,11174,AIL,AIL,JAL,479,574,500,5,0,0,2.4,7.5,5.8,15.7,22.6,20.2
ALEX.2,0,0,0,2,2011,ALEX.2,2,ALEX,0.503613,0.125983,11137,11151,11174,CFJ,AIL,MAM,421,442,439,1,20,0,0,2.5,1.6,16.8,16.6,15.6
ALEX.3,0,0,0,2,2011,ALEX.3,3,ALEX,0.496196,0.138269,11137,11151,11174,CFJ,AIL,MAM,407,455,423,1,20,0,0.9,1.7,1,11.4,16.8,15
ALEX.4,0,0,NA,2,2011,ALEX.4,4,ALEX,0.488748,0.111691,11137,11151,NA,AIL,AIL,NA,439,541,NA,10,5,NA,1.2,6,NA,14.5,19.6,NA
ALEX.5,0,0,0,2,2011,ALEX.5,5,ALEX,0.490944,0.104179,11137,11151,11174,AIL,AIL,JAL,406,527,405,10,10,5,2.4,6.2,3.3,13.4,19.7,14
ALEX.6,0,0,0,2,2011,ALEX.6,6,ALEX,0.495783,0.104657,11137,11151,11174,CFJ,AIL,MAM,466,492,466,1,15,0,3.7,5,6.4,15.1,18.1,17.6
ALEX.7,0,0,0,2,2011,ALEX.7,7,ALEX,0.509979,0.113155,11137,11151,11174,AIL,AIL,JAL,454,554,438,5,0,0,0,1.1,0,15.3,21.5,18.6
ALEX.8,0,0,0,2,2011,ALEX.8,8,ALEX,0.518987,0.131426,11137,11151,11174,CFJ,AIL,MAM,444,417,391,1,35,2,2.7,4.2,0.9,12.5,17.7,15
ALEX.9,0,0,0,2,2011,ALEX.9,9,ALEX,0.480918,0.100105,11137,11151,11174,AIL,AIL,JAL,422,514,469,5,12,0,0,5.7,1.8,15.1,19.4,19.7
ALVIN.1,0,0,0,2,2011,ALVIN.1,1,ALVIN,0.658083,0.0238088,11130,11158,11187,WAA,AIL,CFJ,449,387,473,10,10,100,6.5,7.5,2.5,24.8,24.3,23.5
ALVIN.2,0,0,0,2,2011,ALVIN.2,2,ALVIN,0.643187,0.032753,11130,11158,11187,WAA,AIL,AIL,360,430,480,40,5,100,6.1,9.2,2.8,22.8,25.5,22.1
ALVIN.3,0,1,0,2,2011,ALVIN.3,3,ALVIN,0.6415,0.0293472,11130,11158,11187,WAA,AIL,JAL,462,378,473,10,10,100,8.7,6.8,4,23.8,23.9,22
ALVIN.4,0,0,1,2,2011,ALVIN.4,4,ALVIN,0.65264,0.0328166,11130,11158,11187,WAA,AIL,AIL,372,439,490,30,0,100,8.5,9.8,3.2,22.7,25.9,23.3
ALVIN.5,0,0,0,2,2011,ALVIN.5,5,ALVIN,0.658656,0.0358086,11130,11158,11187,WAA,AIL,AIL,384,449,499,18,0,100,7.2,12.2,2.4,22.1,26.2,23.5
ALVIN.6,0,0,0,2,2011,ALVIN.6,6,ALVIN,0.671197,0.0317662,11130,11158,11187,WAA,AIL,JAL,396,459,500,30,0,99,5.7,8.9,0,22.6,26.1,22.9
ALVIN.7,0,0,0,2,2011,ALVIN.7,7,ALVIN,0.670083,0.0288061,11130,11158,11187,WAA,AIL,CFJ,408,407,495,17,10,100,6.5,11.7,3.2,21.9,25.3,21.4
ALVIN.8,0,0,0,2,2011,ALVIN.8,8,ALVIN,0.660821,0.0281376,11130,11158,11187,WAA,AIL,JAL,426,470,486,10,0,100,5.4,8.6,2.3,23,25.5,22.2
ALVIN.9,0,0,0,2,2011,ALVIN.9,9,ALVIN,0.668969,0.0237133,11130,11158,11187,WAA,AIL,CFJ,438,397,482,5,10,100,11.7,11.5,3.1,23,25.5,21.6
BBOW.1,0,0,0,2,2011,BBOW.1,1,BBOW,0.685011,0.0649012,11130,11157,11180,AIL,AIL,JAL,375,525,519,100,0,0,8.2,7.1,4.5,23.9,29.6,24.8
BBOW.2,0,0,0,2,2011,BBOW.2,2,BBOW,0.691473,0.0655378,11130,11157,11180,AIL,AIL,JAL,464,535,498,0,0,2,5.4,7.2,6.9,26.5,27.5,24.5
BBOW.3,0,0,0,2,2011,BBOW.3,3,BBOW,0.694656,0.0649648,11130,11157,11180,AIL,CFJ,JAL,453,521,401,0,0,10,8.1,11.9,5.4,25.6,27.3,19.9
BBOW.4,0,0,0,2,2011,BBOW.4,4,BBOW,0.68743,0.0673202,11130,11157,11180,AIL,CFJ,JAL,443,531,412,0,0,10,4.5,7.3,4.1,24.6,27.3,19.9
BBOW.5,0,0,0,2,2011,BBOW.5,5,BBOW,0.683961,0.064933,11130,11157,11180,AIL,CFJ,JAL,430,544,487,5,0,2,1.7,4.4,4,26.1,28.9,24.4
BBOW.6,0,0,0,2,2011,BBOW.6,6,BBOW,0.677913,0.0663972,11130,11125,11180,AIL,JAL,JAL,409,542,440,30,5,10,3.9,8.1,5.3,23.3,27.5,21.5
BBOW.7,0,0,0,2,2011,BBOW.7,7,BBOW,0.67559,0.0633733,11130,11157,11180,AIL,JAL,JAL,395,520,458,50,5,5,4,3.6,5.2,25,26.9,22.7
BBOW.8,0,0,0,2,2011,BBOW.8,8,BBOW,0.68708,0.0703759,11130,11157,11180,AIL,AIL,JAL,490,560,534,0,5,0,9.9,9.9,10,25.6,29.4,25.5
BBOW.9,0,0,0,2,2011,BBOW.9,9,BBOW,0.695674,0.0693574,11130,11157,11180,AIL,AIL,JAL,475,546,547,0,2,0,9.8,9.2,10.9,25.5,28.4,25.6
BLUE.1,0,0,0,2,2011,BLUE.1,1,BLUE,0.391126,0.117643,11123,11142,11178,JDW,AIL,AIL,550,490,461,0,47,90,3.7,3.5,3.4,11,21.3,19.6
BLUE.2,0,0,0,2,2011,BLUE.2,2,BLUE,0.401025,0.12611,11123,11142,11178,JDW,AIL,CFJ,513,446,433,5,35,90,3.2,3.7,0.9,8,19.6,25.1
BLUE.3,0,0,0,2,2011,BLUE.3,3,BLUE,0.390712,0.132794,11123,11142,11178,CFJ,CFJ,AIL,520,451,423,10,30,98,0.6,0.8,0.9,16,20.1,19.9
BLUE.4,0,0,0,2,2011,BLUE.4,4,BLUE,0.418563,0.115956,11123,11142,11178,JDW,AIL,AIL,492,403,395,30,40,90,4.4,0,4.3,5.4,20.9,19.2
BLUE.5,0,0,0,2,2011,BLUE.5,5,BLUE,0.396696,0.13219,11123,11142,11178,JDW,AIL,CFJ,524,460,418,0,50,85,3.4,7.1,0,9.9,19.4,23.4
BLUE.6,0,0,0,2,2011,BLUE.6,6,BLUE,0.385778,0.126333,11123,11142,11178,CFJ,CFJ,CFJ,554,488,460,1,40,95,2.5,6.7,1.5,11.6,19,24.4
BLUE.7,0,0,0,2,2011,BLUE.7,7,BLUE,0.388675,0.131457,11123,11142,11178,CFJ,CFJ,AIL,508,433,411,10,40,90,3,2,3.6,8.2,18.9,19.6
BLUE.8,0,0,0,2,2011,BLUE.8,8,BLUE,0.363084,0.127192,11123,11142,11178,JDW,AIL,AIL,539,479,452,0,45,90,5.1,3.4,7.6,9.7,21.6,19.7
BLUE.9,0,0,0,2,2011,BLUE.9,9,BLUE,0.432473,0.117261,11123,11142,11178,CFJ,CFJ,CFJ,492,402,399,10,45,100,2.4,4.2,0.8,10.7,17.3,21.3
CECIL.1,0,0,0,2,2011,CECIL.1,1,CECIL,0.612726,0.0150874,11128,11162,11187,AIL,AIL,CFJ,483,382,381,45,80,100,12.4,25,3.3,18.5,14.6,23.6
CECIL.2,0,1,0,2,2011,CECIL.2,2,CECIL,0.602254,0.0143871,11128,11162,11187,AIL,AIL,CFJ,494,393,393,45,40,100,8.1,4.3,2,20,14.1,22.8
CECIL.3,1,1,0,2,2011,CECIL.3,3,CECIL,0.591527,0.0150237,11128,11162,11187,AIL,MAM,AIL,510,415,377,40,40,99,12.3,2.6,1.9,21.3,15.1,23.7
CECIL.4,0,0,0,2,2011,CECIL.4,4,CECIL,0.582073,0.0150555,11128,11162,11187,AIL,MAM,JAL,442,378,387,80,80,99,5.4,1.9,1.1,16.2,16.3,23.5
CECIL.5,1,1,0,2,2011,CECIL.5,5,CECIL,0.59767,0.0146736,11128,11162,11187,AIL,MAM,AIL,458,394,391,65,100,100,9.6,2.3,2.7,18.1,14.1,22.6
CECIL.6,1,0,0,2,2011,CECIL.6,6,CECIL,0.61037,0.0145144,11128,11162,11187,AIL,AIL,CFJ,472,371,369,50,100,95,9.9,2.7,1.4,17.6,14.3,25.5
CECIL.7,0,1,0,2,2011,CECIL.7,7,CECIL,0.613235,0.0143871,11128,11162,11187,AIL,AIL,AIL,405,361,365,85,100,95,7.1,3.5,1.7,18.2,14.3,23.3
CECIL.8,1,0,NA,2,2011,CECIL.8,8,CECIL,0.591909,0.0156285,11128,11162,NA,AIL,MAM,NA,418,357,NA,85,100,NA,11.8,1.7,NA,17.6,15.7,NA
CECIL.9,0,0,0,2,2011,CECIL.9,9,CECIL,0.575453,0.0157876,11128,11162,11187,AIL,MAM,JAL,430,368,375,80,100,99,12.8,1.3,2.7,18.1,15.4,22.1
CEDV.1,0,0,0,2,2011,CEDV.1,1,CEDV,0.823853,0.0732406,11140,11156,11185,JDW,WAA,MAM,469,437,481,100,0,100,1.6,0,5.3,12.8,15.6,19.4
CEDV.2,0,0,0,2,2011,CEDV.2,2,CEDV,0.829933,0.0769965,11140,11156,11185,WAA,MAM,JDW,556,450,511,100,10,85,0,0,1.7,12.7,23.6,21.4
CEDV.3,0,0,0,2,2011,CEDV.3,3,CEDV,0.833848,0.0804978,11140,11156,11185,MAM,JDW,WAA,482,413,432,100,5,100,1.9,0,4,15.1,17.9,19.5
CEDV.4,0,0,0,2,2011,CEDV.4,4,CEDV,0.815482,0.0713626,11140,11156,11185,WAA,MAM,JDW,485,415,430,100,45,25,0,0,0,15.5,23.8,20.7
CEDV.5,0,0,0,2,2011,CEDV.5,5,CEDV,0.832798,0.0757233,11140,11156,11185,JDW,WAA,MAM,502,395,413,100,3,100,4.3,0,1.5,12,13.2,19.4
CEDV.6,0,0,0,2,2011,CEDV.6,6,CEDV,0.828373,0.0755324,11140,11156,11185,WAA,MAM,JDW,505,432,470,100,40,80,0,0,0,12.5,20.8,20.8
CEDV.7,0,0,0,2,2011,CEDV.7,7,CEDV,0.814018,0.0822166,11140,11156,11185,MAM,JDW,WAA,525,438,393,100,0,100,0,0,0,17.2,17,19.2
